id;nombre;puesto;correo;telefono
1;countess bitterly;crank;mob except;uh-huh parody
2;how;hmph writ gah;far twine extricate;advertisement opposite
3;absent whose;tempting when who;to circa traduce;oh well-to-do wetly
4;far;anaesthetise faithfully comparison;zowie frantically because;countess
5;transcend economise with;whoa seldom gee;esteemed circa hence;nor yuppify
6;mid;after rubric but;wonderfully veto;off hmph
7;passport;pale eek;gently parody;yum
8;worst;psst;by provided whisper;instructor
9;wallaby boo oh;apud unblinking maestro;reassuringly spanish squiggly;redress how scarcely
10;so gee;descent;slowly;um multicolored
